calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 2.777778 0.000000 0.000000 2.777778 0.000000 0.030462 0.000000 0.000000 0.000000 0.000000 
1 0.200000 6.003933 0.000000 0.000000 233.902778 0.000000 0.000000 3.875838 0.182890 0.104162 6.003933 0.000000 0.000000 0.000000 
1 0.400000 6.003933 0.000000 0.000000 465.027778 0.000000 0.000000 3.875838 0.182890 0.177863 0.000000 0.000000 0.000000 0.000000 
1 0.600000 15.009832 0.000000 0.000000 696.152778 0.000000 0.000000 21.595807 1.784705 0.251563 9.005899 0.000000 0.000000 0.000000 
1 0.800000 25.516714 0.000000 0.026803 927.131720 4.945389 -0.070837 87.003014 4.426904 0.325264 10.506882 0.026803 0.000000 0.000000 
1 1.000000 36.019822 0.281585 0.000000 1158.256720 4.201118 -0.070837 215.936309 7.844415 0.398965 10.506882 -0.026803 0.000000 0.000000 
2 1.000000 36.019822 0.281585 0.000000 1158.256720 4.201118 -0.070837 215.936309 7.844415 0.398965 0.000000 0.000000 80.000000 0.000000 
3 1.000000 30.221442 0.197253 -0.002659 42.468803 0.295945 -0.004321 38.243134 -0.491804 0.007827 0.000000 0.000000 0.000000 0.000000 
1 1.200000 42.229265 0.165325 -0.002659 273.591901 -0.383184 -0.004072 27.562355 -0.397817 0.081528 12.007865 0.000000 0.000000 0.000000 
1 1.400000 54.237087 0.133398 -0.002659 504.715090 -1.028057 -0.001469 29.765443 0.581152 0.155228 12.007865 0.000000 0.000000 0.000000 
1 1.600000 66.244910 0.101470 -0.002659 735.838521 -1.582161 0.003488 66.105846 2.445106 0.228929 12.007865 0.000000 0.000000 0.000000 
1 1.800000 75.250777 0.077524 -0.002659 966.962185 -2.057371 0.008969 128.715489 4.506808 0.302629 9.005899 0.000000 0.000000 0.000000 
1 2.000000 87.258600 0.045596 -0.002659 1198.086432 -2.304289 0.018632 280.586496 8.140728 0.376330 12.007865 0.000000 0.000000 0.000000 
2 2.000000 87.258600 0.045596 -0.002659 1198.086432 -2.304289 0.018632 280.586496 8.140728 0.376330 0.000000 0.000000 80.000000 5.000000 
3 2.000000 85.069606 -1.103455 -0.049911 42.518641 -0.062074 -0.000425 62.671098 -0.780574 0.011088 0.000000 0.000000 0.000000 0.000000 
1 2.200000 97.062517 -1.702535 -0.049911 273.071822 -11.971758 0.006217 46.118404 -0.647602 0.084788 12.007865 0.000000 0.000000 0.000000 
1 2.400000 107.556315 -2.226731 -0.023108 504.081443 -17.186415 0.026801 41.992035 0.243019 0.158489 10.506882 0.026803 0.000000 0.000000 
1 2.600000 116.559810 -2.434822 -0.023108 735.101065 -21.936564 0.059781 59.339033 1.669972 0.232189 9.005899 0.000000 0.000000 0.000000 
1 2.800000 122.562139 -2.573549 0.084105 964.593782 -3.774588 -0.057327 89.262699 3.059093 0.305890 6.003933 0.107213 0.000000 0.000000 
1 3.000000 127.049172 -2.195275 0.164515 1189.770501 30.053822 -0.282910 128.675824 4.417901 0.379590 4.502949 0.080410 0.000000 0.000000 
1 3.200000 132.972039 -1.211988 0.271728 1406.143517 77.517671 -0.894594 209.125864 6.613316 0.453291 6.003933 0.107213 0.000000 0.000000 
2 3.200000 132.972039 -1.211988 0.271728 1406.143517 77.517671 -0.894594 209.125864 6.613316 0.453291 0.000000 0.000000 80.000000 -25.000000 
3 3.200000 136.165337 -0.412469 0.306126 40.458680 2.684710 0.073404 76.861745 -0.856995 0.010975 0.000000 0.000000 0.000000 0.000000 
1 3.400000 146.183736 2.753956 0.332929 246.523332 77.369008 0.035716 85.609807 -0.748009 0.084676 10.506882 0.026803 0.000000 0.000000 
2 3.400000 146.183736 2.753956 0.332929 246.523332 77.369008 0.035716 85.609807 -0.748009 0.084676 0.000000 0.000000 80.000000 -30.000000 
3 3.400000 136.140734 -0.258404 0.371370 34.762809 12.866281 -0.048993 65.875398 -0.852566 0.013133 0.000000 0.000000 0.000000 0.000000 
1 3.600000 147.330036 4.099158 0.371370 236.127121 93.548775 -0.106221 78.877455 -0.705617 0.086834 12.007865 -0.000000 0.000000 0.000000 
2 3.600000 147.330036 4.099158 0.371370 236.127121 93.548775 -0.106221 78.877455 -0.705617 0.086834 0.000000 0.000000 80.000000 25.000000 
3 3.600000 151.285747 6.160725 0.320265 41.889635 -2.104617 0.218060 31.247690 -0.340303 0.005712 0.000000 0.000000 0.000000 0.000000 
1 3.800000 162.683036 9.941019 0.320265 248.540689 70.483561 0.196468 47.139470 -0.275206 0.079412 12.007865 0.000000 0.000000 0.000000 
1 4.000000 172.655664 13.248777 0.347068 452.535237 144.532057 -0.087338 76.194016 0.509418 0.153113 10.506882 0.026803 0.000000 0.000000 
1 4.200000 176.890120 14.780421 0.427478 644.795486 229.248690 -0.373172 122.664386 1.136835 0.226813 4.502949 0.080410 0.000000 0.000000 
1 4.400000 180.987868 16.647241 0.507888 823.977068 321.551891 -0.869878 189.787130 2.029246 0.300514 4.502949 0.080410 0.000000 0.000000 
1 4.600000 188.856985 21.027106 0.561495 1004.829495 398.372785 -2.310904 303.714167 4.320104 0.374214 9.005899 0.053607 0.000000 0.000000 
1 4.800000 197.750644 26.621515 0.588298 1204.447147 440.612686 -4.492855 479.001395 7.590938 0.447915 10.506882 0.026803 0.000000 0.000000 
2 4.800000 197.750644 26.621515 0.588298 1204.447147 440.612686 -4.492855 479.001395 7.590938 0.447915 0.000000 0.000000 80.000000 -20.000000 
3 4.800000 197.553850 26.697442 0.595355 40.579321 -3.963870 0.293574 64.697863 -0.690149 0.010205 0.000000 0.000000 0.000000 0.000000 
1 5.000000 207.495755 33.431487 0.595355 195.524451 110.234206 0.224853 124.672507 -0.588692 0.083906 12.007865 -0.000000 0.000000 0.000000 
1 5.200000 217.437660 40.165531 0.595355 354.737249 218.131650 -0.340171 193.949182 0.245490 0.157606 12.007865 0.000000 0.000000 0.000000 
1 5.400000 226.136826 46.057820 0.622158 517.437242 314.942283 -1.305242 288.131041 1.591151 0.231307 10.506882 0.026803 0.000000 0.000000 
2 5.400000 226.136826 46.057820 0.622158 517.437242 314.942283 -1.305242 288.131041 1.591151 0.231307 0.000000 0.000000 80.000000 25.000000 
3 5.400000 223.646392 43.999166 0.605563 53.741441 -0.376445 0.424490 30.478706 -0.297504 0.007570 0.000000 0.000000 0.000000 0.000000 
1 5.600000 227.348635 46.562357 0.685973 189.772562 115.161225 0.402897 121.231310 -0.271126 0.081271 4.502949 0.080410 0.000000 0.000000 
1 5.800000 231.994498 50.365404 0.793186 301.575356 232.102158 0.055191 237.751546 0.071207 0.154972 6.003933 0.107213 0.000000 0.000000 
1 6.000000 240.418961 58.922112 0.793186 425.740092 336.335079 -1.270855 367.312212 1.376758 0.228672 12.007865 -0.000000 0.000000 0.000000 
1 6.200000 247.790366 66.409232 0.819989 566.334121 419.343404 -3.027510 522.350202 3.015903 0.302373 10.506882 0.026803 0.000000 0.000000 
1 6.400000 255.982482 75.188643 0.819989 750.373989 461.602661 -5.682164 715.606869 5.492975 0.376073 12.007865 0.000000 0.000000 0.000000 
2 6.400000 255.982482 75.188643 0.819989 750.373989 461.602661 -5.682164 715.606869 5.492975 0.376073 0.000000 0.000000 80.000000 -30.000000 
3 6.400000 253.361953 72.545176 0.813578 35.202609 -6.530117 0.355670 77.225130 -0.760553 0.011329 0.000000 0.000000 0.000000 0.000000 
1 6.600000 260.579157 80.181047 0.786775 145.781882 116.703707 0.271384 182.443900 -0.676499 0.085030 10.506882 -0.026803 0.000000 0.000000 
1 6.800000 267.998412 87.620754 0.813578 255.648073 234.521059 -0.377892 299.180153 -0.062822 0.158730 10.506882 0.026803 0.000000 0.000000 
1 7.000000 271.091500 90.893270 0.893988 350.918755 344.952239 -0.935097 440.551723 0.384835 0.232431 4.502949 0.080410 0.000000 0.000000 
1 7.200000 274.851813 95.573788 1.001201 433.535547 441.138603 -2.110274 609.386254 1.137416 0.306131 6.003933 0.107213 0.000000 0.000000 
2 7.200000 274.851813 95.573788 1.001201 433.535547 441.138603 -2.110274 609.386254 1.137416 0.306131 0.000000 0.000000 80.000000 -10.000000 
3 7.200000 279.568817 101.674067 1.020276 43.575153 -1.331738 0.411161 42.829330 -0.276199 0.006568 0.000000 0.000000 0.000000 0.000000 
1 7.400000 282.709661 106.790932 1.127489 81.830959 90.687011 0.375540 230.052776 -0.259285 0.080268 6.003933 0.107213 0.000000 0.000000 
2 7.400000 282.709661 106.790932 1.127489 81.830959 90.687011 0.375540 230.052776 -0.259285 0.080268 0.000000 0.000000 80.000000 -15.000000 
3 7.400000 280.203455 101.856699 1.087956 32.508324 -4.497580 0.417367 45.969018 -0.346241 0.008715 0.000000 0.000000 0.000000 0.000000 
1 7.600000 284.384863 109.833041 1.141563 66.288181 87.097112 0.346005 234.589947 -0.313578 0.082415 9.005899 0.053607 0.000000 0.000000 
1 7.800000 289.382226 120.751613 1.141563 108.588618 175.215667 -0.553851 424.607966 0.098280 0.156116 12.007865 -0.000000 0.000000 0.000000 
1 8.000000 293.754918 130.305362 1.168366 169.341244 249.065562 -2.063100 623.732234 0.740709 0.229816 10.506882 0.026803 0.000000 0.000000 
1 8.200000 297.869999 139.972869 1.141563 269.769264 310.829522 -4.258707 825.698147 1.745624 0.303517 10.506882 -0.026803 0.000000 0.000000 
2 8.200000 297.869999 139.972869 1.141563 269.769264 310.829522 -4.258707 825.698147 1.745624 0.303517 0.000000 0.000000 80.000000 -5.000000 
3 8.200000 299.023656 146.274358 1.228519 44.415588 0.529336 0.453209 41.279621 -0.183859 0.006606 0.000000 0.000000 0.000000 0.000000 
1 8.400000 301.542557 153.343934 1.308928 53.682415 60.444603 0.405321 256.224758 -0.171024 0.080307 7.504916 0.080410 0.000000 0.000000 
2 8.400000 301.542557 153.343934 1.308928 53.682415 60.444603 0.405321 256.224758 -0.171024 0.080307 0.000000 0.000000 80.000000 -10.000000 
3 8.400000 299.549663 146.579793 1.302987 34.776547 -3.258750 0.474380 40.592626 -0.203293 0.008676 0.000000 0.000000 0.000000 0.000000 
1 8.600000 301.138420 152.369703 1.410200 35.368203 34.835052 0.422961 265.425364 -0.194964 0.082376 6.003933 0.107213 0.000000 0.000000 
1 8.800000 301.858472 156.814709 1.490610 34.713806 54.183078 0.053217 494.937520 -0.165252 0.156077 4.502949 0.080410 0.000000 0.000000 
1 9.000000 302.339390 162.799350 1.597823 39.865835 49.074722 -0.883517 725.951469 -0.190575 0.229778 6.003933 0.107213 0.000000 0.000000 
1 9.200000 302.177143 168.801090 1.705036 62.654001 21.362377 -2.250674 953.391119 -0.375212 0.303478 6.003933 0.107213 0.000000 0.000000 
1 9.400000 301.373595 174.751008 1.758643 107.822474 -14.295944 -4.040684 1177.678931 -0.715470 0.377179 6.003933 0.053607 0.000000 0.000000 
1 9.600000 299.691802 183.598481 1.812249 220.548325 -45.897379 -7.338980 1400.419804 -1.527699 0.450879 9.005899 0.053607 0.000000 0.000000 
1 9.800000 297.538369 192.343133 1.865856 400.045310 -67.644949 -11.224075 1623.094370 -2.708500 0.524580 9.005899 0.053607 0.000000 0.000000 
2 9.800000 297.538369 192.343133 1.865856 400.045310 -67.644949 -11.224075 1623.094370 -2.708500 0.524580 0.000000 0.000000 80.000000 0.000000 
3 9.800000 297.266189 198.025795 1.853279 89.381337 17.969496 1.038955 49.184865 0.359196 0.013702 0.000000 0.000000 0.000000 0.000000 
1 10.000000 294.755874 206.674756 1.906886 97.844039 -59.784148 0.922460 253.158307 0.318499 0.087403 9.005899 0.053607 0.000000 0.000000 
2 10.000000 294.755874 206.674756 1.906886 97.844039 -59.784148 0.922460 253.158307 0.318499 0.087403 0.000000 0.000000 80.000000 -5.000000 
3 10.000000 297.144416 199.269867 1.919482 75.105695 9.501716 1.041845 40.259305 0.307353 0.016857 0.000000 0.000000 0.000000 0.000000 
1 10.200000 295.093095 204.912498 1.973089 99.538852 -77.694168 0.948717 234.602214 0.267727 0.090558 6.003933 0.053607 0.000000 0.000000 
1 10.400000 292.154705 211.818266 2.053498 140.725059 -175.706394 0.346741 415.163188 -0.047738 0.164258 7.504916 0.080410 0.000000 0.000000 
2 10.400000 292.154705 211.818266 2.053498 140.725059 -175.706394 0.346741 415.163188 -0.047738 0.164258 0.000000 0.000000 80.000000 35.000000 
3 10.400000 288.098644 219.249688 2.046634 36.700796 13.797242 0.417901 66.913810 0.510593 0.007789 0.000000 0.000000 0.000000 0.000000 
1 10.600000 284.660766 225.920877 2.127044 96.125003 -94.553370 0.368256 229.679775 0.479727 0.081490 7.504916 0.080410 0.000000 0.000000 
2 10.600000 284.660766 225.920877 2.127044 96.125003 -94.553370 0.368256 229.679775 0.479727 0.081490 0.000000 0.000000 80.000000 30.000000 
3 10.600000 286.733604 222.624260 2.114942 31.205070 9.363696 0.395111 63.081406 0.572917 0.009812 0.000000 0.000000 0.000000 0.000000 
1 10.800000 282.071361 230.329434 2.168549 99.070021 -104.053077 0.322065 215.447114 0.523183 0.083513 9.005899 0.053607 0.000000 0.000000 
2 10.800000 282.071361 230.329434 2.168549 99.070021 -104.053077 0.322065 215.447114 0.523183 0.083513 0.000000 0.000000 80.000000 25.000000 
3 10.800000 285.769329 224.828008 2.184926 27.180435 3.015522 0.316672 55.973936 0.502885 0.009164 0.000000 0.000000 0.000000 0.000000 
1 11.000000 280.579702 232.188306 2.238533 111.778127 -114.322730 0.251867 193.156993 0.451781 0.082865 9.005899 0.053607 0.000000 0.000000 
1 11.200000 276.862007 236.902747 2.292139 211.989570 -230.492407 -0.121725 321.203928 0.123227 0.156565 6.003933 0.053607 0.000000 0.000000 
1 11.400000 270.914568 243.665452 2.345746 333.185595 -339.707714 -1.129116 443.844791 -0.863329 0.230266 9.005899 0.053607 0.000000 0.000000 
1 11.600000 266.713737 247.955001 2.399352 471.667581 -442.205644 -2.063604 561.592664 -1.882171 0.303966 6.003933 0.053607 0.000000 0.000000 
2 11.600000 266.713737 247.955001 2.399352 471.667581 -442.205644 -2.063604 561.592664 -1.882171 0.303966 0.000000 0.000000 80.000000 -25.000000 
3 11.600000 260.095733 255.869830 2.371598 48.144680 -3.190597 0.345915 32.405842 0.216003 0.005265 0.000000 0.000000 0.000000 0.000000 
1 11.800000 254.707848 261.094239 2.452008 182.533397 -119.526513 0.320776 123.633990 0.185517 0.078966 7.504916 0.080410 0.000000 0.000000 
2 11.800000 254.707848 261.094239 2.452008 182.533397 -119.526513 0.320776 123.633990 0.185517 0.078966 0.000000 0.000000 80.000000 -30.000000 
3 11.800000 260.438492 256.137852 2.433166 50.233848 -4.648664 0.432894 23.743243 0.188250 0.007545 0.000000 0.000000 0.000000 0.000000 
1 12.000000 254.739359 261.020848 2.513576 197.902505 -117.790543 0.399627 101.520415 0.142433 0.081245 7.504916 0.080410 0.000000 0.000000 
2 12.000000 254.739359 261.020848 2.513576 197.902505 -117.790543 0.399627 101.520415 0.142433 0.081245 0.000000 0.000000 80.000000 35.000000 
3 12.000000 251.887699 262.854628 2.588564 27.548554 -12.600184 0.037725 36.505797 0.297503 0.004470 0.000000 0.000000 0.000000 0.000000 
1 12.200000 244.224241 267.585128 2.642171 205.419825 -111.199419 0.018444 85.092610 0.262161 0.078171 9.005899 0.053607 0.000000 0.000000 
2 12.200000 244.224241 267.585128 2.642171 205.419825 -111.199419 0.018444 85.092610 0.262161 0.078171 0.000000 0.000000 80.000000 35.000000 
3 12.200000 250.521036 264.125176 2.595364 30.167690 -14.425956 -0.011594 31.645397 0.304856 0.005102 0.000000 0.000000 0.000000 0.000000 
1 12.400000 244.108161 268.023739 2.675774 214.801801 -108.010683 -0.028792 74.413504 0.270647 0.078802 7.504916 0.080410 0.000000 0.000000 
1 12.600000 237.402861 271.394603 2.702578 405.155951 -195.894088 -0.280168 116.129363 -0.264677 0.152503 7.504916 0.026803 0.000000 0.000000 
1 12.800000 229.250985 275.222544 2.756184 607.261438 -268.865945 -0.796491 163.832516 -1.537355 0.226204 9.005899 0.053607 0.000000 0.000000 
2 12.800000 229.250985 275.222544 2.756184 607.261438 -268.865945 -0.796491 163.832516 -1.537355 0.226204 0.000000 0.000000 80.000000 -20.000000 
3 12.800000 227.734332 276.664222 2.683774 42.083583 -5.570289 0.155176 19.956822 0.182769 0.003983 0.000000 0.000000 0.000000 0.000000 
1 13.000000 221.002282 279.981337 2.764184 240.993570 -86.259826 0.144160 48.987588 0.154980 0.077684 7.504916 0.080410 0.000000 0.000000 
2 13.000000 221.002282 279.981337 2.764184 240.993570 -86.259826 0.144160 48.987588 0.154980 0.077684 0.000000 0.000000 80.000000 -25.000000 
3 13.000000 228.286113 277.009696 2.749931 40.981569 -4.514771 0.187969 15.565706 0.167393 0.004811 0.000000 0.000000 0.000000 0.000000 
1 13.200000 219.962176 280.447469 2.803538 245.604372 -78.804461 0.173600 38.490816 0.126520 0.078511 9.005899 0.053607 0.000000 0.000000 
1 13.400000 212.882027 282.936494 2.883948 461.346712 -136.164425 0.023464 55.795228 -0.443253 0.152212 7.504916 0.080410 0.000000 0.000000 
